ID_Cliente,Nombre,Apellido,Email,Fecha_Registro,Region,total_productos,total_gasto,gasto_promedio,Cancelada,Completa,Pendiente,forma_pago_1,forma_pago_2,forma_pago_3,forma_pago_4,forma_pago_5
1,Karisa,Cromett,kcromett0@imageshack.us,19/11/2023,Patagonia,41,287.77,26.16090909090909,0,11,2,1,0,3,4,5
2,Lenette,Seabert,lseabert1@yahoo.co.jp,07/05/2023,Patagonia,9,103.28,34.42666666666667,0,3,1,1,0,0,2,1
3,Buddy,Silverson,bsilverson2@howstuffworks.com,27/03/2023,Patagonia,23,160.24,22.891428571428573,0,7,1,3,0,2,2,1
4,Dan,Parkin,dparkin3@virginia.edu,26/10/2023,Buenos Aires,30,230.16,32.88,0,7,1,2,1,2,2,1
5,Conney,Cassella,ccassella4@who.int,31/03/2023,Centro,19,164.48000000000002,23.497142857142858,0,7,2,1,1,3,3,1
6,Saunder,Fone,sfone5@tumblr.com,07/06/2023,Buenos Aires,24,184.61,20.512222222222224,0,9,0,1,1,3,0,4
7,Sophia,Landon,slandon6@imgur.com,19/03/2023,Cuyo,28,301.91999999999996,37.739999999999995,0,8,1,3,1,1,3,1
8,Joellen,Grey,jgrey7@buzzfeed.com,13/05/2023,Buenos Aires,37,286.51,31.834444444444443,0,9,1,3,0,2,2,3
9,Ephraim,Blackstone,eblackstone8@linkedin.com,02/04/2023,Centro,21,268.15,44.69166666666666,0,6,4,0,1,1,5,3
10,Stephenie,Sexty,ssexty9@domainmarket.com,23/11/2023,Buenos Aires,25,253.23999999999998,42.20666666666666,0,6,1,1,1,2,2,1
11,Hilario,Hubble,hhubblea@lycos.com,12/10/2023,Buenos Aires,29,242.30999999999997,24.230999999999998,0,10,3,2,3,0,4,4
12,Daisy,Vennart,dvennartb@shutterfly.com,21/08/2023,Patagonia,27,197.15,24.64375,0,8,0,3,0,1,2,2
13,Kameko,Moland,kmolandc@samsung.com,23/10/2023,Centro,31,409.95,51.24375,0,8,3,1,0,3,4,3
14,Fedora,Brackenbury,fbrackenburyd@nsw.gov.au,01/05/2023,Buenos Aires,40,366.85,30.570833333333336,0,12,2,3,1,2,4,4
15,Locke,Getsham,lgetshame@joomla.org,29/12/2023,Buenos Aires,39,500.17999999999995,50.017999999999994,0,10,0,1,0,0,4,5
16,Robena,Arkill,rarkillf@usnews.com,19/04/2023,Buenos Aires,12,100.2,50.1,0,2,2,0,1,0,2,1
17,Marianna,Kyle,mkyleg@blogs.com,25/07/2023,Buenos Aires,32,413.33,51.66625,0,8,3,2,2,2,3,2
18,Palm,TRUE,ptrueh@howstuffworks.com,23/12/2023,Centro,20,193.92,38.784,0,5,0,0,1,1,3,0
19,Victoria,Filyukov,vfilyukovi@thetimes.co.uk,13/11/2023,Centro,26,158.46,22.63714285714286,0,7,0,0,1,1,2,3
20,Benedicto,Selbach,bselbachj@ning.com,22/07/2023,Cuyo,37,318.19,28.926363636363636,0,11,0,1,0,4,2,4
21,Kleon,Mitrovic,kmitrovick@opera.com,25/05/2023,Buenos Aires,42,421.74,38.34,0,11,1,2,1,3,3,3
22,Laird,Grainger,lgraingerl@4shared.com,26/09/2023,Centro,26,293.86,41.980000000000004,0,7,1,2,0,0,2,4
23,Essy,Ruperti,erupertim@theatlantic.com,04/05/2023,Patagonia,28,270.23,33.77875,0,8,1,2,0,0,4,3
24,Juan,Borrowman,jborrowmann@xrea.com,23/07/2023,Cuyo,49,391.94,32.66166666666667,0,12,2,1,1,1,8,3
25,Queenie,Moyer,qmoyero@foxnews.com,18/06/2023,Patagonia,36,412.3,34.358333333333334,0,12,2,1,0,3,5,5
26,Byrom,Soro,bsorop@senate.gov,05/07/2023,Centro,19,203.69,29.09857142857143,0,7,1,3,0,1,2,2
27,Bealle,Andreuzzi,bandreuzziq@gov.uk,29/11/2023,Buenos Aires,42,426.23,42.623000000000005,0,10,1,2,1,0,5,3
28,Theodoric,Bunny,tbunnyr@shinystat.com,25/11/2023,NEA,17,192.92000000000002,38.584,0,5,2,1,0,2,4,0
29,Hugh,Lipsett,hlipsetts@sbwire.com,10/09/2023,NEA,25,274.83,39.26142857142857,0,7,2,1,0,4,2,2
30,Martainn,Burton,mburtont@jigsy.com,15/06/2023,Buenos Aires,18,199.15,49.7875,0,4,2,3,0,0,2,1
31,Marni,Ruthven,mruthvenu@cocolog-nifty.com,28/03/2023,Centro,42,339.29,26.099230769230772,0,13,2,2,1,4,2,6
32,Cristen,Ottee,cotteev@reference.com,27/07/2023,Cuyo,21,196.04,28.005714285714284,0,7,0,1,1,3,2,0
33,Rosemarie,Swadling,rswadlingw@weebly.com,10/08/2023,NEA,27,223.79,44.757999999999996,0,5,1,2,0,1,1,2
34,Karolina,Husselbee,khusselbeex@ezinearticles.com,05/12/2023,Cuyo,35,279.45,27.945,0,10,1,1,3,0,3,4
35,Matthew,Rudderham,mrudderhamy@mashable.com,23/04/2023,NOA,26,313.71999999999997,52.28666666666666,0,6,2,2,0,2,3,1
36,Lothaire,Bolderson,lboldersonz@gov.uk,31/10/2023,Buenos Aires,32,268.97,26.897000000000002,0,10,2,0,2,1,3,6
37,Frederik,Gook,fgook10@newsvine.com,04/11/2023,Cuyo,27,182.79,26.11285714285714,0,7,1,4,0,0,2,2
38,Genevra,Perree,gperree11@usgs.gov,19/12/2023,Patagonia,34,287.63,35.95375,0,8,0,1,1,2,1,3
39,Filippo,Culkin,fculkin12@people.com.cn,12/10/2023,Patagonia,24,225.68,32.24,0,7,1,1,1,2,2,2
40,Holli,Cousans,hcousans13@yelp.com,13/04/2023,Cuyo,39,307.16999999999996,38.396249999999995,0,8,1,1,0,1,6,1
41,Felisha,Jayne,fjayne14@mlb.com,29/07/2023,Patagonia,14,130.95,26.189999999999998,0,5,3,1,0,1,4,2
42,Myer,Wattinham,mwattinham15@oracle.com,23/06/2023,Patagonia,13,112.63,28.1575,0,4,0,1,1,0,1,1
43,Brenda,Buckel,bbuckel16@acquirethisname.com,27/09/2023,Patagonia,17,205.74,34.29,0,6,2,3,0,0,1,4
44,Cyrill,Runge,crunge17@sfgate.com,17/09/2023,Buenos Aires,31,233.26999999999998,25.918888888888887,0,9,1,0,1,2,3,4
45,Doll,Rye,drye18@ezinearticles.com,16/08/2023,Buenos Aires,20,219.31,31.330000000000002,0,7,2,1,0,2,3,3
46,Slade,Stockle,sstockle19@slate.com,10/08/2023,Centro,40,410.85,31.603846153846156,0,13,1,2,0,0,5,7
47,Betteanne,Pratley,bpratley1a@archive.org,28/09/2023,Buenos Aires,13,120.08999999999999,24.017999999999997,0,5,3,1,0,1,5,1
48,Corbie,Von Der Empten,cvonderempten1b@printfriendly.com,18/10/2023,Patagonia,39,376.0,34.18181818181818,0,11,3,2,1,2,5,4
49,Sarita,McAsgill,smcasgill1c@flavors.me,04/12/2023,Buenos Aires,46,633.24,70.36,0,9,0,0,0,2,6,1
50,Nickolaus,Coppins,ncoppins1d@xrea.com,21/09/2023,Buenos Aires,47,482.9,37.146153846153844,0,13,2,1,3,1,5,5
51,Maire,Rumble,mrumble1e@blinklist.com,30/10/2023,Cuyo,8,57.47,14.3675,0,4,0,0,1,0,1,2
52,Albrecht,McGrirl,amcgrirl1f@163.com,09/10/2023,Patagonia,26,383.79999999999995,47.974999999999994,1,8,0,2,3,1,2,1
